"","country","anthem_names"
"1","Afghanistan","""Milli Surood"" (National Anthem)"
"2","Akrotiri","as a UK area of special sovereignty, ""God Save the King"" is official (see United Kingdom)"
"3","Albania","""Hymni i Flamurit"" (Hymn to the Flag)"
"4","Algeria","""Kassaman"" (We Pledge)"
"5","American Samoa","""Amerika Samoa"" (American Samoa)"
"6","Andorra","""El Gran Carlemany"" (The Great Charlemagne)"
"7","Angola","""Angola Avante"" (Forward Angola)"
"8","Anguilla","""God Bless Anguilla"""
"9","Antigua and Barbuda","Fair Antigua, We Salute Thee"
"10","Argentina","""Himno Nacional Argentino"" (Argentine National Anthem)"
"11","Armenia","""Mer Hayrenik"" (Our Fatherland)"
"12","Aruba","""Aruba Deshi Tera"" (Aruba Precious Country)"
"13","Australia","Advance Australia Fair"
"14","Austria","""Bundeshymne"" (Federal Hymn)"
"15","Azerbaijan","""Azerbaijan Marsi"" (March of Azerbaijan)"
"16","Bahamas, The","""March On, Bahamaland!"""
"17","Bahrain","""Bahrainona"" (Our Bahrain)"
"18","Bangladesh","""Amar Shonar Bangla"" (My Golden Bengal)"
"19","Barbados","""The National Anthem of Barbados"""
"20","Belarus","""My, Bielarusy"" (We Belarusians)"
"21","Belgium","""La Brabanconne"" (The Song of Brabant)"
"22","Belize","Land of the Free"
"23","Benin","""L'Aube Nouvelle"" (The Dawn of a New Day)"
"24","Bermuda","Hail to Bermuda"
"25","Bhutan","""Druk tsendhen"" (The Thunder Dragon Kingdom)"
"26","Bolivia","""Cancion Patriotica"" (Patriotic Song)"
"27","Bosnia and Herzegovina","""Drzavna himna Bosne i Hercegovine"" (The National Anthem of Bosnia and Herzegovina)"
"28","Botswana","""Fatshe leno la rona"" (Our Land)"
"29","Brazil","""Hino Nacional Brasileiro"" (Brazilian National Anthem)"
"30","British Indian Ocean Territory","as an overseas territory of the United Kingdom, ""God Save the King"" is official (see United Kingdom)"
"31","British Virgin Islands","as an overseas territory of the United Kingdom, ""God Save the King"" is official (see United Kingdom)"
"32","Brunei","""Allah Peliharakan Sultan"" (God Bless His Majesty)"
"33","Bulgaria","""Mila Rodino"" (Dear Homeland)"
"34","Burkina Faso","""Le Ditanye"" (Anthem of Victory)"
"35","Burma","""Kaba Ma Kyei"" (Till the End of the World, Myanmar)"
"36","Burundi","""Burundi Bwacu"" (Our Beloved Burundi)"
"37","Cabo Verde","""Cantico da Liberdade"" (Song of Freedom)"
"38","Cambodia","""Nokoreach"" (Royal Kingdom)"
"39","Cameroon","""O Cameroun, Berceau de nos Ancetres"" (O Cameroon, Cradle of Our Forefathers)"
"40","Canada","""O Canada"""
"41","Cayman Islands","""Beloved Isle Cayman"""
"42","Central African Republic","""La Renaissance"" (The Renaissance)"
"43","Chad","""La Tchadienne"" (The Chadian)"
"44","Chile","""Himno Nacional de Chile"" (National Anthem of Chile)"
"45","China","""Yiyongjun Jinxingqu"" (The March of the Volunteers)"
"46","Christmas Island","as a territory of Australia, ""Advance Australia Fair"" remains official as the national anthem, while ""God Save the King"" serves as the royal anthem (see Australia)"
"47","Cocos (Keeling) Islands","as a territory of Australia, ""Advance Australia Fair"" remains official as the national anthem, while ""God Save the King"" serves as the royal anthem (see Australia)"
"48","Colombia","""Himno Nacional de la Republica de Colombia"" (National Anthem of the Republic of Colombia)"
"49","Comoros","""Udzima wa ya Masiwa"" (The Union of the Great Islands)"
"50","Congo, Democratic Republic of the","""Debout Congolaise"" (Arise Congolese)"
"51","Congo, Republic of the","""La Congolaise"" (The Congolese)"
"52","Cook Islands","""Te Atua Mou E"" (To God Almighty)"
"53","Costa Rica","""Himno Nacional de Costa Rica"" (National Anthem of Costa Rica)"
"54","Cote d'Ivoire","""L'Abidjanaise"" (Song of Abidjan)"
"55","Croatia","""Lijepa nasa domovino"" (Our Beautiful Homeland)"
"56","Cuba","""La Bayamesa"" (The Bayamo Song)"
"57","Curacao","""Himmo di Korsou"" (Anthem of Curacao)"
"58","Cyprus","""Ymnos eis tin Eleftherian"" (Hymn to Liberty)"
"59","Czechia","""Kde domov muj?"" (Where is My Home?)"
"60","Denmark","""Der er et yndigt land"" (There is a Lovely Country); ""Kong Christian"" (King Christian)"
"61","Dhekelia","as a United Kingdom area of special sovereignty, ""God Save the King"" is official (see United Kingdom)"
"62","Djibouti","""Jabuuti"" (Djibouti)"
"63","Dominica","""Isle of Beauty"""
"64","Dominican Republic","""Himno Nacional"" (National Anthem)"
"65","Ecuador","""Salve, Oh Patria!"" (We Salute You, Our Homeland)"
"66","Egypt","""Bilady, Bilady, Bilady"" (My Homeland, My Homeland, My Homeland)"
"67","El Salvador","""Himno Nacional de El Salvador"" (National Anthem of El Salvador)"
"68","Equatorial Guinea","""Caminemos pisando la senda"" (Let Us Tread the Path)"
"69","Eritrea","""Ertra, Ertra, Ertra"" (Eritrea, Eritrea, Eritrea)"
"70","Estonia","""Mu isamaa, mu onn ja room"" (My Native Land, My Pride and Joy)"
"71","Eswatini","""Nkulunkulu Mnikati wetibusiso temaSwati"" (Oh God, Bestower of the Blessings of the Swazi)"
"72","Ethiopia","""Whedefit Gesgeshi Woud Enat Ethiopia"" (March Forward, Dear Mother Ethiopia)"
"73","European Union","""Ode to Joy"""
"74","Falkland Islands (Islas Malvinas)","""Song of the Falklands"""
"75","Faroe Islands","""Mitt alfagra land"" (My Fairest Land)"
"76","Fiji","""God Bless Fiji"""
"77","Finland","""Maamme"" (Our Land)"
"78","France","""La Marseillaise"" (The Song of Marseille)"
"79","French Polynesia","""Ia Ora 'O Tahiti Nui"" (Long Live Tahiti Nui)"
"80","French Southern and Antarctic Lands","as a territory of France, ""La Marseillaise"" is official (see France)"
"81","Gabon","""La Concorde"" (The Concorde)"
"82","Gambia, The","""For The Gambia, Our Homeland"""
"83","Georgia","""Tavisupleba"" (Liberty)"
"84","Germany","""Das Lied der Deutschen"" (Song of the Germans)"
"85","Ghana","""God Bless Our Homeland Ghana"""
"86","Gibraltar","""Gibraltar Anthem"""
"87","Greece","""Ymnos eis tin Eleftherian"" (Hymn to Liberty)"
"88","Greenland","""Nunarput utoqqarsuanngoravit"" (Our Country, Who's Become So Old also translated as You Our Ancient Land)"
"89","Grenada","""Hail Grenada"""
"90","Guam","""Fanohge Chamoru"" (Stand Ye Guamanians)"
"91","Guatemala","""Himno Nacional de Guatemala"" (National Anthem of Guatemala)"
"92","Guernsey","""Sarnia Cherie"" (Guernsey Dear)"
"93","Guinea","""Liberte"" (Liberty)"
"94","Guinea-Bissau","""Esta e a Nossa Patria Bem Amada"" (This Is Our Beloved Country)"
"95","Guyana","""Dear Land of Guyana, of Rivers and Plains"""
"96","Haiti","""La Dessalinienne"" (The Dessalines Song)"
"97","Holy See (Vatican City)","""Inno e Marcia Pontificale"" (Hymn and Pontifical March); often called The Pontifical Hymn"
"98","Honduras","""Himno Nacional de Honduras"" (National Anthem of Honduras)"
"99","Hong Kong","as a Special Administrative Region of China, ""Yiyongjun Jinxingqu"" is the official anthem (see China)"
"100","Hungary","""Himnusz"" (Hymn)"
"101","Iceland","""Lofsongur"" (Song of Praise)"
"102","India","""Jana-Gana-Mana"" (Thou Art the Ruler of the Minds of All People)"
"103","Indonesia","""Indonesia Raya"" (Great Indonesia)"
"104","Iran","""Soroud-e Melli-ye Jomhouri-ye Eslami-ye Iran"" (National Anthem of the Islamic Republic of Iran)"
"105","Iraq","""Mawtini"" (My Homeland)"
"106","Ireland","""Amhran na bhFiann"" (The Soldier's Song)"
"107","Isle of Man","""Arrane Ashoonagh dy Vannin"" (O Land of Our Birth)"
"108","Israel","""Hatikvah"" (The Hope)"
"109","Italy","""Il Canto degli Italiani"" (The Song of the Italians)"
"110","Jamaica","""Jamaica, Land We Love"""
"111","Japan","""Kimigayo"" (The Emperor's Reign)"
"112","Jersey","""Isle de Siez Nous"" (Island Home)"
"113","Jordan","""As-salam al-malaki al-urdoni"" (Long Live the King of Jordan)"
"114","Kazakhstan","""Menin Qazaqstanim"" (My Kazakhstan)"
"115","Kenya","""Ee Mungu Nguvu Yetu"" (Oh God of All Creation)"
"116","Kiribati","""Teirake kaini Kiribati"" (Stand Up, Kiribati)"
"117","Korea, North","""Aegukka"" (Patriotic Song)"
"118","Korea, South","""Aegukga"" (Patriotic Song)"
"119","Kosovo","Europe"
"120","Kuwait","""Al-Nasheed Al-Watani"" (National Anthem)"
"121","Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (National Anthem of the Kyrgyz Republic)"
"122","Laos","""Pheng Xat Lao"" (Hymn of the Lao People)"
"123","Latvia","""Dievs, sveti Latviju!"" (God Bless Latvia)"
"124","Lebanon","""Kulluna lil-watan"" (All Of Us, For Our Country!)"
"125","Lesotho","""Lesotho fatse la bo ntat'a rona"" (Lesotho, Land of Our Fathers)"
"126","Liberia","""All Hail, Liberia Hail!"""
"127","Libya","""Libya, Libya, Libya"""
"128","Liechtenstein","""Oben am jungen Rhein"" (High Above the Young Rhine)"
"129","Lithuania","""Tautiska giesme"" (The National Song)"
"130","Luxembourg","""Ons Heemecht"" (Our Motherland); ""De Wilhelmus"" (The William)"
"131","Macau","as a Special Administrative Region of China, ""Yiyongjun Jinxingqu"" is the official anthem (see China)"
"132","Madagascar","""Ry Tanindraza nay malala o"" (Oh, Our Beloved Fatherland)"
"133","Malawi","""Mulungu dalitsa Malawi"" (Oh God Bless Our Land of Malawi)"
"134","Malaysia","""Negaraku"" (My Country)"
"135","Maldives","""Gaumee Salaam"" (National Salute)"
"136","Mali","""Le Mali"" (Mali)"
"137","Malta","""L-Innu Malti"" (The Maltese Anthem)"
"138","Marshall Islands","""Forever Marshall Islands"""
"139","Mauritania",""""
"140","Mauritius","""Motherland"""
"141","Mexico","""Himno Nacional Mexicano"" (National Anthem of Mexico)"
"142","Micronesia, Federated States of","""Patriots of Micronesia"""
"143","Moldova","""Limba noastra"" (Our Language)"
"144","Monaco","""A Marcia de Muneghu"" (The March of Monaco)"
"145","Mongolia","""Mongol ulsyn toriin duulal"" (National Anthem of Mongolia)"
"146","Montenegro","""Oj, svijetla majska zoro"" (Oh, Bright Dawn of May)"
"147","Montserrat","as a territory of the UK, ""God Save the King"" is official (see United Kingdom)"
"148","Morocco","""Hymne Cherifien"" (Hymn of the Sharif)"
"149","Mozambique","""Patria Amada"" (Lovely Fatherland)"
"150","Namibia","""Namibia, Land of the Brave"""
"151","Nauru","""Nauru Bwiema"" (Song of Nauru)"
"152","Nepal","""Sayaun Thunga Phool Ka"" (Hundreds of Flowers)"
"153","Netherlands","""Het Wilhelmus"" (The William)"
"154","New Caledonia","""Soyons unis, devenons freres"" (Let Us Be United, Let Us Become Brothers)"
"155","New Zealand","""God Defend New Zealand"""
"156","Nicaragua","""Salve a ti, Nicaragua"" (Hail to Thee, Nicaragua)"
"157","Niger","""La Nigerienne"" (The Nigerien)"
"158","Nigeria","""Arise Oh Compatriots, Nigeria's Call Obey"""
"159","Niue","""Ko e Iki he Lagi"" (The Lord in Heaven)"
"160","Norfolk Island","""Come Ye Blessed"""
"161","North Macedonia","""Denes nad Makedonija"" (Today Over Macedonia)"
"162","Northern Mariana Islands","""Gi Talo Gi Halom Tasi"" (In the Middle of the Sea)"
"163","Norway","""Ja, vi elsker dette landet"" (Yes, We Love This Country)"
"164","Oman","""Nashid as-Salaam as-Sultani"" (The Sultan's Anthem)"
"165","Pakistan","""Qaumi Tarana"" (National Anthem)"
"166","Palau","""Belau rekid"" (Our Palau)"
"167","Panama","""Himno Istmeno"" (Isthmus Hymn)"
"168","Papua New Guinea","""O Arise All You Sons"""
"169","Paraguay","""Paraguayos, Republica o muerte!"" (Paraguayans, The Republic or Death!)"
"170","Peru","""Himno Nacional del Peru"" (National Anthem of Peru)"
"171","Philippines","""Lupang Hinirang"" (Chosen Land)"
"172","Pitcairn Islands","""We From Pitcairn Island"""
"173","Poland","""Mazurek Dabrowskiego"" (Dabrowski's Mazurka)"
"174","Portugal","""A Portugesa"" (The Song of the Portuguese)"
"175","Puerto Rico","""La Borinquena"" (The Puerto Rican)"
"176","Qatar","""Al-Salam Al-Amiri"" (The Amiri Salute)"
"177","Romania","""Desteapta-te romane!"" (Wake up, Romanian!)"
"178","Russia","""Gimn Rossiyskoy Federatsii"" (National Anthem of the Russian Federation)"
"179","Rwanda","""Rwanda nziza"" (Rwanda, Our Beautiful Country)"
"180","Saint Barthelemy","""L'Hymne a St. Barthelemy"" (Hymn to St. Barthelemy)"
"181","Saint Helena, Ascension, and Tristan da Cunha","as an overseas territory of the UK, ""God Save the King"" is official (see United Kingdom)"
"182","Saint Kitts and Nevis","""Oh Land of Beauty!"""
"183","Saint Lucia","""Sons and Daughters of St. Lucia"""
"184","Saint Martin","""O Sweet Saint Martin's Land"""
"185","Saint Pierre and Miquelon","as a collectivity of France, ""La Marseillaise"" is official (see France)"
"186","Saint Vincent and the Grenadines","""St. Vincent! Land So Beautiful!"""
"187","Samoa","""O le Fu'a o le Sa'olotoga o Samoa"" (The Banner of Freedom)"
"188","San Marino","""Inno Nazionale della Repubblica"" (National Anthem of the Republic)"
"189","Sao Tome and Principe","""Independencia total"" (Total Independence)"
"190","Saudi Arabia","""Aash Al Maleek"" (Long Live Our Beloved King)"
"191","Senegal","""Pincez Tous vos Koras, Frappez les Balafons"" (Pluck Your Koras, Strike the Balafons)"
"192","Serbia","""Boze pravde"" (God of Justice)"
"193","Seychelles","""Koste Seselwa"" (Seychellois Unite)"
"194","Sierra Leone","""High We Exalt Thee, Realm of the Free"""
"195","Singapore","""Majulah Singapura"" (Onward Singapore)"
"196","Sint Maarten","O Sweet Saint Martin's Land"
"197","Slovakia","""Nad Tatrou sa blyska"" (Lightning Over the Tatras)"
"198","Slovenia","""Zdravljica"" (A Toast)"
"199","Solomon Islands","""God Save Our Solomon Islands"""
"200","Somalia","""Qolobaa Calankeed"" (Every Nation Has its own Flag)"
"201","South Africa","""National Anthem of South Africa"""
"202","South Sudan","""South Sudan Oyee!"" (Hooray!)"
"203","Spain","""Himno Nacional Espanol"" (National Anthem of Spain)"
"204","Sri Lanka","""Sri Lanka Matha"" (Mother Sri Lanka)"
"205","Sudan","""Nahnu Djundulla Djundulwatan"" (We Are the Army of God and of Our Land)"
"206","Suriname","""God zij met ons Suriname!"" (God Be With Our Suriname)"
"207","Svalbard","as a territory of Norway, ""Ja, vi elsker dette landet"" is official (see Norway)"
"208","Sweden","""Du Gamla, Du Fria"" (Thou Ancient, Thou Free)"
"209","Switzerland","the Swiss anthem has four names: ""Schweizerpsalm"" [German] ""Cantique Suisse"" [French] ""Salmo svizzero,"" [Italian] ""Psalm svizzer"" [Romansch] (Swiss Psalm)"
"210","Syria","""Humat ad-Diyar"" (Guardians of the Homeland)"
"211","Taiwan","""Zhonghua Minguo guoge"" (National Anthem of the Republic of China)"
"212","Tajikistan","""Surudi milli"" (National Anthem)"
"213","Tanzania","""Mungu ibariki Afrika"" (God Bless Africa)"
"214","Thailand","""Phleng Chat Thai"" (National Anthem of Thailand)"
"215","Timor-Leste","""Patria"" (Fatherland)"
"216","Togo","""Salut a toi, pays de nos aieux"" (Hail to Thee, Land of Our Forefathers)"
"217","Tokelau","""Te Atua"" (For the Almighty)"
"218","Tonga","""Ko e fasi `o e tu""i `o e `Otu Tonga"" (Song of the King of the Tonga Islands)"
"219","Trinidad and Tobago","""Forged From the Love of Liberty"""
"220","Tunisia","""Humat Al Hima"" (Defenders of the Homeland)"
"221","Turkey (Turkiye)","""Istiklal Marsi"" (Independence March)"
"222","Turkmenistan","""Garassyz, Bitarap Turkmenistanyn"" (Independent, Neutral, Turkmenistan State Anthem)"
"223","Turks and Caicos Islands","""This Land of Ours"""
"224","Tuvalu","""Tuvalu mo te Atua"" (Tuvalu for the Almighty)"
"225","Uganda","""Oh Uganda, Land of Beauty!"""
"226","Ukraine","""Shche ne vmerla Ukraina"" (Ukraine Has Not Yet Perished)"
"227","United Arab Emirates","""Nashid al-watani al-imarati"" (National Anthem of the UAE)"
"228","United Kingdom","""God Save the King"""
"229","United States","""The Star-Spangled Banner"""
"230","Uruguay","""Himno Nacional"" (National Anthem of Uruguay)"
"231","Uzbekistan","""O'zbekiston Respublikasining Davlat Madhiyasi"" (National Anthem of the Republic of Uzbekistan)"
"232","Vanuatu","""Yumi, Yumi, Yumi"" (We, We, We)"
"233","Venezuela","""Gloria al bravo pueblo"" (Glory to the Brave People)"
"234","Vietnam","""Tien quan ca"" (The Song of the Marching Troops)"
"235","Virgin Islands","""Virgin Islands March"""
"236","Wallis and Futuna","as a territory of France, ""La Marseillaise"" is official (see France)"
"237","World","virtually every country has a national anthem; most (but not all) anthems have lyrics, which are usually in the national or most common language of the country; states with more than one national language may offer several versions of their anthem"
"238","Yemen","""al-qumhuriyatu l-muttahida"" (United Republic)"
"239","Zambia","""Lumbanyeni Zambia"" (Stand and Sing of Zambia, Proud and Free)"
"240","Zimbabwe","""Kalibusiswe Ilizwe leZimbabwe"" [Northern Ndebele language] ""Simudzai Mureza WeZimbabwe"" [Shona] (Blessed Be the Land of Zimbabwe)"
